> as(s1, "data.frame")
                            sequence   support
146                   <{L-6},{T-11}> 0.3101473
147                   <{L-7},{T-11}> 0.2266776
148                   <{L-8},{T-11}> 0.2594108
149                   <{L-9},{T-11}> 0.2119476
150                  <{T-10},{T-11}> 0.3895254
151                  <{T-11},{T-11}> 0.2708674
152                   <{T-5},{T-11}> 0.2094926
153                   <{T-6},{T-11}> 0.2512275
154                   <{T-7},{T-11}> 0.3003273
155                   <{T-8},{T-11}> 0.3436989
156                   <{T-9},{T-11}> 0.3739771
157            <{T-9},{T-10},{T-11}> 0.2111293
158            <{T-8},{T-10},{T-11}> 0.2037643
159                  <{A-10},{T-10}> 0.2348609
160                   <{A-6},{T-10}> 0.2152209
161                   <{A-7},{T-10}> 0.2430442
162                   <{A-8},{T-10}> 0.2414075
163                   <{A-9},{T-10}> 0.2086743
164                   <{L-6},{T-10}> 0.2438625
165                   <{L-8},{T-10}> 0.2062193
166                  <{T-10},{T-10}> 0.2135843
167                   <{T-6},{T-10}> 0.2356792
168                   <{T-7},{T-10}> 0.2954173
169                   <{T-8},{T-10}> 0.3428805
170                   <{T-9},{T-10}> 0.3576105
171                   <{A-10},{L-9}> 0.2045827
172                    <{A-6},{L-9}> 0.2152209
173                    <{A-7},{L-9}> 0.2250409
174                    <{A-8},{L-9}> 0.2266776
175                    <{L-6},{L-9}> 0.2094926
176                    <{T-7},{L-9}> 0.2152209
177                    <{T-8},{L-9}> 0.2225859
178                    <{T-9},{L-9}> 0.2258592
179                   <{A-10},{L-8}> 0.2479542
180                   <{A-11},{L-8}> 0.2119476
181                    <{A-5},{L-8}> 0.2340426
182                    <{A-6},{L-8}> 0.2520458
183                    <{A-7},{L-8}> 0.2970540
184                    <{A-8},{L-8}> 0.2921440
185                    <{A-9},{L-8}> 0.2643208
186                    <{L-3},{L-8}> 0.2045827
187                    <{L-4},{L-8}> 0.2013093
188                    <{L-6},{L-8}> 0.2577741
189                    <{L-7},{L-8}> 0.2119476
190                    <{L-8},{L-8}> 0.2741408
191                    <{L-9},{L-8}> 0.2209493
192                   <{T-10},{L-8}> 0.2520458
193                   <{T-11},{L-8}> 0.2381342
194                    <{T-6},{L-8}> 0.2291326
195                    <{T-7},{L-8}> 0.2594108
196                    <{T-8},{L-8}> 0.2692308
197                    <{T-9},{L-8}> 0.2855974
198                   <{A-10},{L-7}> 0.2013093
199                    <{A-6},{L-7}> 0.2225859
200                    <{A-7},{L-7}> 0.2274959
201                    <{A-8},{L-7}> 0.2266776
202                    <{A-9},{L-7}> 0.2062193
203                    <{L-6},{L-7}> 0.2152209
204                    <{L-8},{L-7}> 0.2152209
205                   <{T-10},{L-7}> 0.2037643
206                    <{T-7},{L-7}> 0.2144026
207                    <{T-8},{L-7}> 0.2250409
208                    <{T-9},{L-7}> 0.2348609
209                    <{A-1},{L-6}> 0.2635025
210                      <{A-1,L-6}> 0.2463175
211                   <{A-10},{L-6}> 0.3559738
212                     <{A-10,L-6}> 0.2839607
213                   <{A-11},{L-6}> 0.2062193
214                    <{A-2},{L-6}> 0.2504092
215                      <{A-2,L-6}> 0.2430442
216                    <{A-3},{L-6}> 0.2021277
217                      <{A-3,L-6}> 0.2315876
218                    <{A-6},{L-6}> 0.2594108
219                    <{A-7},{L-6}> 0.3085106
220                    <{A-8},{L-6}> 0.2995090
221                    <{A-9},{L-6}> 0.2635025
222                    <{L-3},{L-6}> 0.2144026
223                    <{L-4},{L-6}> 0.2340426
224                    <{L-6},{L-6}> 0.3854337
225                    <{L-7},{L-6}> 0.2135843
226                    <{L-8},{L-6}> 0.2504092
227                    <{L-9},{L-6}> 0.2045827
228                   <{T-10},{L-6}> 0.2945990
229                   <{T-11},{L-6}> 0.2708674
230                   <{T-12},{L-6}> 0.2389525
231                    <{T-6},{L-6}> 0.2479542
232                    <{T-7},{L-6}> 0.2782324
233                    <{T-8},{L-6}> 0.3052373
234                    <{T-9},{L-6}> 0.3085106
235              <{L-6},{L-6},{L-6}> 0.2610475
236              <{L-6},{A-2},{L-6}> 0.2135843
237                <{A-2,L-6},{L-6}> 0.2103110
238             <{L-6},{A-10},{L-6}> 0.2536825
239               <{A-10,L-6},{L-6}> 0.2373159
240             <{A-10},{L-6},{L-6}> 0.2487725
241                <{A-1,L-6},{L-6}> 0.2389525
242              <{A-1},{L-6},{L-6}> 0.2356792
243        <{L-6},{L-6},{L-6},{L-6}> 0.2168576
244       <{L-6},{A-10},{L-6},{L-6}> 0.2086743
245         <{A-10,L-6},{L-6},{L-6}> 0.2054010
246          <{A-1,L-6},{L-6},{L-6}> 0.2250409
247        <{A-1},{L-6},{L-6},{L-6}> 0.2078560
248    <{A-1,L-6},{L-6},{L-6},{L-6}> 0.2062193
249       <{A-1},{A-10},{L-6},{L-6}> 0.1996727
250          <{L-6},{A-2,L-6},{L-6}> 0.2054010
251          <{A-1},{A-2,L-6},{L-6}> 0.2037643
252      <{A-1,L-6},{A-2,L-6},{L-6}> 0.2029460
253         <{L-6},{A-10,L-6},{L-6}> 0.2193126
254         <{A-1},{A-10,L-6},{L-6}> 0.2168576
255     <{A-1,L-6},{A-10,L-6},{L-6}> 0.2144026
256             <{A-10},{A-2},{L-6}> 0.1996727
257              <{A-1},{A-2},{L-6}> 0.2062193
258          <{A-1,L-6},{A-2},{L-6}> 0.2045827
259             <{A-1},{A-10},{L-6}> 0.2250409
260         <{A-1,L-6},{A-10},{L-6}> 0.2168576
261                <{L-6},{A-3,L-6}> 0.2119476
262               <{A-10},{A-3,L-6}> 0.2111293
263                <{A-1},{A-3,L-6}> 0.2078560
264          <{L-6},{L-6},{A-3,L-6}> 0.2062193
265         <{L-6},{A-10},{A-3,L-6}> 0.2029460
266           <{A-10,L-6},{A-3,L-6}> 0.2062193
267            <{A-1,L-6},{A-3,L-6}> 0.2054010
268          <{A-1},{L-6},{A-3,L-6}> 0.2037643
269      <{A-1,L-6},{L-6},{A-3,L-6}> 0.2037643
270     <{L-6},{A-10,L-6},{A-3,L-6}> 0.2004910
271     <{A-1},{A-10,L-6},{A-3,L-6}> 0.2004910
272 <{A-1,L-6},{A-10,L-6},{A-3,L-6}> 0.2004910
273         <{A-1},{A-10},{A-3,L-6}> 0.2021277
274     <{A-1,L-6},{A-10},{A-3,L-6}> 0.2013093
275                <{L-6},{A-2,L-6}> 0.2340426
276               <{A-10},{A-2,L-6}> 0.2234043
277                <{A-1},{A-2,L-6}> 0.2266776
278          <{L-6},{L-6},{A-2,L-6}> 0.2160393
279         <{L-6},{A-10},{A-2,L-6}> 0.2111293
280           <{A-10,L-6},{A-2,L-6}> 0.2160393
281            <{A-1,L-6},{A-2,L-6}> 0.2258592
282          <{A-1},{L-6},{A-2,L-6}> 0.2086743
283      <{A-1,L-6},{L-6},{A-2,L-6}> 0.2078560
284     <{L-6},{A-10,L-6},{A-2,L-6}> 0.2070376
285     <{A-1},{A-10,L-6},{A-2,L-6}> 0.2070376
286 <{A-1,L-6},{A-10,L-6},{A-2,L-6}> 0.2062193
287         <{A-1},{A-10},{A-2,L-6}> 0.2086743
288     <{A-1,L-6},{A-10},{A-2,L-6}> 0.2070376
289               <{L-6},{A-10,L-6}> 0.2504092
290               <{A-1},{A-10,L-6}> 0.2332242
291           <{A-1,L-6},{A-10,L-6}> 0.2291326
292                    <{A-7},{L-5}> 0.2054010
293                   <{A-10},{L-4}> 0.2356792
294                   <{A-11},{L-4}> 0.2045827
295                    <{A-5},{L-4}> 0.2094926
296                    <{A-6},{L-4}> 0.2561375
297                    <{A-7},{L-4}> 0.2847791
298                    <{A-8},{L-4}> 0.2594108
299                    <{A-9},{L-4}> 0.2512275
300                    <{L-1},{L-4}> 0.2782324
301                    <{L-3},{L-4}> 0.3109656
302                    <{L-4},{L-4}> 0.2004910
303                    <{L-6},{L-4}> 0.2021277
304                    <{L-8},{L-4}> 0.2152209
305                   <{T-10},{L-4}> 0.2446809
306                   <{T-11},{L-4}> 0.2086743
307                    <{T-6},{L-4}> 0.2062193
308                    <{T-7},{L-4}> 0.2430442
309                    <{T-8},{L-4}> 0.2700491
310                    <{T-9},{L-4}> 0.2553191
311              <{L-1},{L-3},{L-4}> 0.2422259
312                    <{A-6},{L-3}> 0.2234043
313                    <{A-7},{L-3}> 0.2405892
314                    <{A-8},{L-3}> 0.2291326
315                    <{A-9},{L-3}> 0.2119476
316                    <{L-1},{L-3}> 0.2798691
317                    <{T-7},{L-3}> 0.2193126
318                    <{T-8},{L-3}> 0.2364975
319                    <{T-9},{L-3}> 0.2184943
320                   <{A-7},{L-11}> 0.2291326
321                   <{A-8},{L-11}> 0.2078560
322                   <{L-8},{L-11}> 0.2037643
323                   <{T-8},{L-11}> 0.2135843
324                   <{T-9},{L-11}> 0.2127660
325                   <{A-10},{A-9}> 0.2471358
326                    <{A-5},{A-9}> 0.1996727
327                    <{A-6},{A-9}> 0.2577741
328                    <{A-7},{A-9}> 0.2782324
329                    <{A-8},{A-9}> 0.2635025
330                    <{A-9},{A-9}> 0.2512275
331                    <{L-3},{A-9}> 0.2242226
332                    <{L-6},{A-9}> 0.2430442
333                    <{L-7},{A-9}> 0.2037643
334                    <{L-8},{A-9}> 0.2364975
335                   <{T-10},{A-9}> 0.2414075
336                   <{T-11},{A-9}> 0.2004910
337                    <{T-6},{A-9}> 0.2119476
338                    <{T-7},{A-9}> 0.2446809
339                    <{T-8},{A-9}> 0.2651391
340                    <{T-9},{A-9}> 0.2692308
341                   <{A-10},{A-8}> 0.2839607
342                   <{A-11},{A-8}> 0.2405892
343                    <{A-5},{A-8}> 0.2332242
344                    <{A-6},{A-8}> 0.2995090
345                    <{A-7},{A-8}> 0.3379705
346                    <{A-8},{A-8}> 0.3183306
347                    <{A-9},{A-8}> 0.2978723
348                    <{L-1},{A-8}> 0.2299509
349                   <{L-11},{A-8}> 0.2021277
350                    <{L-3},{A-8}> 0.2471358
351                    <{L-4},{A-8}> 0.2315876
352                    <{L-6},{A-8}> 0.2945990
353                    <{L-7},{A-8}> 0.2364975
354                    <{L-8},{A-8}> 0.2937807
355                    <{L-9},{A-8}> 0.2217676
356                   <{T-10},{A-8}> 0.2765957
357                   <{T-11},{A-8}> 0.2643208
358                   <{T-12},{A-8}> 0.2086743
359                    <{T-5},{A-8}> 0.2029460
360                    <{T-6},{A-8}> 0.2495908
361                    <{T-7},{A-8}> 0.2782324
362                    <{T-8},{A-8}> 0.3068740
363                    <{T-9},{A-8}> 0.3183306
364                   <{A-10},{A-7}> 0.2962357
365                   <{A-11},{A-7}> 0.2340426
366                    <{A-5},{A-7}> 0.2340426
367                    <{A-6},{A-7}> 0.3076923
368                    <{A-7},{A-7}> 0.3355155
369                    <{A-8},{A-7}> 0.2937807
370                    <{A-9},{A-7}> 0.2864157
371                    <{L-1},{A-7}> 0.2225859
372                    <{L-3},{A-7}> 0.2454992
373                    <{L-4},{A-7}> 0.2184943
374                    <{L-6},{A-7}> 0.2692308
375                    <{L-7},{A-7}> 0.2324059
376                    <{L-8},{A-7}> 0.2782324
377                    <{L-9},{A-7}> 0.2258592
378                   <{T-10},{A-7}> 0.2806874
379                   <{T-11},{A-7}> 0.2602291
380                    <{T-5},{A-7}> 0.2029460
381                    <{T-6},{A-7}> 0.2528642
382                    <{T-7},{A-7}> 0.2970540
383                    <{T-8},{A-7}> 0.3036007
384                    <{T-9},{A-7}> 0.3117840
385                   <{A-10},{A-6}> 0.2422259
386                   <{A-11},{A-6}> 0.2144026
387                    <{A-5},{A-6}> 0.2013093
388                    <{A-6},{A-6}> 0.2675941
389                    <{A-7},{A-6}> 0.2872340
390                    <{A-8},{A-6}> 0.2774141
391                    <{A-9},{A-6}> 0.2389525
392                    <{L-3},{A-6}> 0.2013093
393                    <{L-4},{A-6}> 0.2037643
394                    <{L-6},{A-6}> 0.2389525
395                    <{L-7},{A-6}> 0.1996727
396                    <{L-8},{A-6}> 0.2602291
397                    <{L-9},{A-6}> 0.2127660
398                   <{T-10},{A-6}> 0.2528642
399                   <{T-11},{A-6}> 0.2242226
400                    <{T-6},{A-6}> 0.2307692
401                    <{T-7},{A-6}> 0.2495908
402                    <{T-8},{A-6}> 0.2692308
403                    <{T-9},{A-6}> 0.2749591
404                   <{A-10},{A-5}> 0.2119476
405                    <{A-6},{A-5}> 0.2193126
406                    <{A-7},{A-5}> 0.2397709
407                    <{A-8},{A-5}> 0.2422259
408                    <{A-9},{A-5}> 0.2062193
409                    <{L-6},{A-5}> 0.2029460
410                    <{L-8},{A-5}> 0.2119476
411                   <{T-10},{A-5}> 0.2242226
412                    <{T-7},{A-5}> 0.2250409
413                    <{T-8},{A-5}> 0.2340426
414                    <{T-9},{A-5}> 0.2274959
415                    <{A-1},{A-3}> 0.2291326
416                   <{A-10},{A-3}> 0.2782324
417                    <{A-2},{A-3}> 0.2184943
418                    <{A-7},{A-3}> 0.2045827
419                    <{L-6},{A-3}> 0.2864157
420                   <{T-10},{A-3}> 0.2013093
421                    <{T-7},{A-3}> 0.2029460
422                    <{T-8},{A-3}> 0.2168576
423                    <{T-9},{A-3}> 0.2234043
424              <{L-6},{L-6},{A-3}> 0.2315876
425             <{L-6},{A-10},{A-3}> 0.2217676
426               <{A-10,L-6},{A-3}> 0.2135843
427             <{A-10},{L-6},{A-3}> 0.2013093
428                <{A-1,L-6},{A-3}> 0.2119476
429              <{A-1},{L-6},{A-3}> 0.2094926
430          <{A-1,L-6},{L-6},{A-3}> 0.2070376
431         <{L-6},{A-10,L-6},{A-3}> 0.2037643
432         <{A-1},{A-10,L-6},{A-3}> 0.2029460
433     <{A-1,L-6},{A-10,L-6},{A-3}> 0.2021277
434             <{A-1},{A-10},{A-3}> 0.2094926
435         <{A-1,L-6},{A-10},{A-3}> 0.2045827
436                    <{A-1},{A-2}> 0.2356792
437                   <{A-10},{A-2}> 0.2659574
438                    <{L-6},{A-2}> 0.2725041
439              <{L-6},{L-6},{A-2}> 0.2266776
440             <{L-6},{A-10},{A-2}> 0.2209493
441               <{A-10,L-6},{A-2}> 0.2225859
442                <{A-1,L-6},{A-2}> 0.2266776
443              <{A-1},{L-6},{A-2}> 0.2135843
444          <{A-1,L-6},{L-6},{A-2}> 0.2103110
445         <{L-6},{A-10,L-6},{A-2}> 0.2094926
446         <{A-1},{A-10,L-6},{A-2}> 0.2086743
447     <{A-1,L-6},{A-10,L-6},{A-2}> 0.2070376
448             <{A-1},{A-10},{A-2}> 0.2119476
449         <{A-1,L-6},{A-10},{A-2}> 0.2078560
450                   <{A-6},{A-11}> 0.2152209
451                   <{A-7},{A-11}> 0.2569558
452                   <{A-8},{A-11}> 0.2536825
453                   <{A-9},{A-11}> 0.2054010
454                   <{L-6},{A-11}> 0.2094926
455                   <{L-8},{A-11}> 0.2225859
456                  <{T-10},{A-11}> 0.2103110
457                   <{T-7},{A-11}> 0.2135843
458                   <{T-8},{A-11}> 0.2397709
459                   <{T-9},{A-11}> 0.2348609
460                   <{A-1},{A-10}> 0.2651391
461                  <{A-10},{A-10}> 0.2978723
462                  <{A-11},{A-10}> 0.2078560
463                   <{A-5},{A-10}> 0.2103110
464                   <{A-6},{A-10}> 0.2536825
465                   <{A-7},{A-10}> 0.2995090
466                   <{A-8},{A-10}> 0.3101473
467                   <{A-9},{A-10}> 0.2733224
468                   <{L-1},{A-10}> 0.1996727
469                   <{L-3},{A-10}> 0.2348609
470                   <{L-4},{A-10}> 0.2274959
471                   <{L-6},{A-10}> 0.3747954
472                   <{L-7},{A-10}> 0.2144026
473                   <{L-8},{A-10}> 0.2594108
474                   <{L-9},{A-10}> 0.2111293
475                  <{T-10},{A-10}> 0.2806874
476                  <{T-11},{A-10}> 0.2667758
477                  <{T-12},{A-10}> 0.2029460
478                   <{T-5},{A-10}> 0.2045827
479                   <{T-6},{A-10}> 0.2512275
480                   <{T-7},{A-10}> 0.2888707
481                   <{T-8},{A-10}> 0.3117840
482                   <{T-9},{A-10}> 0.3019640
483               <{A-1,L-6},{A-10}> 0.2348609
